Component,Claim,Partner,License,Repository,Homepage,Logo
Main components,The heart of the CYCLONE stack,,,,,
Slipstream,"Deploy, Scale, and manage your (multi-)cloud applications effortlessly",SixSq Sàrl,Apache 2,https://github.com/SlipStream,http://sixsq.com/products/slipstream.html,yes
OpenNaaS Core,Gain full control over your infrastructure using Software-defined Networking (SDN),Fundació i2CAT,GPLv3,https://github.com/dana-i2cat/opennaas,http://opennaas.org/,yes
OpenNaaS Extensions,See what other users are contributing to OpenNaaS,OpenNaaS Community,Apache 2,https://github.com/dana-i2cat/opennaas,http://opennaas.org/partners/
Cyclone Networking Services Manager and Orchestrator,Integrate network services into your cloud applications using our ready-to-deploy modules to increase security and lower maintenance efforts.,i2Cat,?,https://github.com/dana-i2cat/cnsmo,,
CYCLONE Federation Provider,Use federated identities without the complexity,TU Berlin,Apache 2,https://github.com/cyclone-project/cyclone-federation-provider,,
CYCLONE Distributed Logging,Unify log messages from distributed applications,TU Berlin,Apache 2,https://github.com/cyclone-project/cyclone-logging,,
Open Service Compendium,Get help chosing the right cloud service for your application,TU Berlin,Apache 2,https://github.com/TU-Berlin-SNET/open-service-compendium,,
Tools and libraries,Extend your solution with these helpers,,,,,
CYCLONE PAM Module,Use federated identities for SSH login,TU Berlin,Apache 2,https://github.com/cyclone-project/cyclone-python-pam,,
CYCLONE Client Registration,Self-registration of OpenID Connect Clients for federated clouds,TU Berlin,Apache 2,https://github.com/cyclone-project/cyclone-client-registration,,
TCTP,Gain end-to-end security while using HTTPS proxies,TU Berlin,Apache 2,https://github.com/TU-Berlin-SNET/tctp-rack,
GAAA-TK,A generic AAA toolkit library,Universiteit van Amsterdam,GNU LGPL,https://github.com/canhnt/gaaa-tk,
SNE-XACML,High performance XACML PDP Engine,Universiteit van Amsterdam,GNU LGPL,https://github.com/canhnt/sne-xacml,
CYCLONE network scripts,Use our scripts to automate network configuration,CNRS LAL,BSD,https://github.com/cyclone-project/naas,,
CYCLONE data erasure scripts,Create ephemeral VMs,CNRS LAL,GPLv3,https://github.com/cyclone-project/data-erasure,,
Demo applications,Learning material and blueprints,,,,,
CYCLONE Wordpress demo,See how easy it is to use Wordpress with federated identities,TU Berlin,GPLv2,https://github.com/cyclone-project/cyclone-demo-wp-docker,,
CYCLONE Django demo,Lern how to use federated identities with Django,CNRS IFB,BSD,https://github.com/cyclone-project/cyclone-federation-provider-apache-oidc-django-demo,,
Apache OpenID Connect,Let Apache use federated identities,CNRS IFB,Apache 2,https://github.com/cyclone-project/cyclone-federation-provider-apache-oidc-demo,,
CYCLONE example deployment,See all our components in action,TU Berlin,-,https://github.com/cyclone-project/cyclone-example-deploy,,
